,id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
2659,142.9,1481.0,,0.0,55.57,2.43,2031.0,,494.71,55.55,550.0,8314.15,2.0,0.0,0.0,3.73,0.0,vehroute_142.9 tripinfo_142.9,DEFAULT_VEHTYPE,1.0,
2660,278.1,1850.0,,0.0,55.57,0.0,2031.0,,486.13,55.56,181.0,3161.33,1.99,0.0,0.0,1.99,0.0,vehroute_278.1 tripinfo_278.1,DEFAULT_VEHTYPE,1.0,
2661,234.9,1440.0,,0.0,55.56,0.0,2033.0,,476.21,55.57,593.0,6713.49,16.27,0.0,0.0,161.0,0.0,vehroute_234.9 tripinfo_234.9,DEFAULT_VEHTYPE,1.0,
2662,192.6,1264.0,,0.0,55.57,4.0,2034.0,,491.1,55.55,770.0,5635.79,4.0,0.0,0.0,416.95,0.0,vehroute_192.6 tripinfo_192.6,DEFAULT_VEHTYPE,1.0,
2663,172.10,1500.0,,0.0,55.57,0.0,2034.0,,492.01,55.56,534.0,7663.12,7.49,0.0,0.0,34.24,0.0,vehroute_172.10 tripinfo_172.10,DEFAULT_VEHTYPE,1.0,
2664,231.16,1658.0,,0.0,55.56,0.11,2034.0,,490.96,55.57,376.0,5580.05,26.44,0.0,0.0,26.44,0.0,vehroute_231.16 tripinfo_231.16,DEFAULT_VEHTYPE,1.0,
2665,201.11,1483.0,,0.0,55.55,0.65,2035.0,,476.21,55.57,552.0,6291.75,28.89,0.0,0.0,150.57,0.0,vehroute_201.11 tripinfo_201.11,DEFAULT_VEHTYPE,1.0,
2666,223.10,1400.0,,0.0,55.56,0.0,2036.0,,476.21,55.57,636.0,7663.12,18.9,0.0,0.0,136.55,0.0,vehroute_223.10 tripinfo_223.10,DEFAULT_VEHTYPE,1.0,
2667,132.10,1719.0,,0.0,55.57,0.82,2036.0,,429.88,55.57,317.0,2584.63,0.0,0.0,0.0,180.47,0.0,vehroute_132.10 tripinfo_132.10,DEFAULT_VEHTYPE,1.0,
2668,152.14,1694.0,,0.0,55.57,6.5,2038.0,,487.52,55.56,344.0,5465.85,0.0,0.0,0.0,0.0,0.0,vehroute_152.14 tripinfo_152.14,DEFAULT_VEHTYPE,1.0,
2669,200.15,1744.0,,0.0,55.55,0.25,2038.0,,475.38,55.57,294.0,4807.02,0.0,0.0,0.0,0.0,0.0,vehroute_200.15 tripinfo_200.15,DEFAULT_VEHTYPE,1.0,
2670,381.1,1845.0,,0.0,55.56,0.0,2038.0,,489.65,55.55,193.0,3408.23,0.0,0.0,0.0,0.0,0.0,vehroute_381.1 tripinfo_381.1,DEFAULT_VEHTYPE,1.0,
